Time : 2021-12-20 13:18:28| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"2","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"},{"id":"4","title":"MULTI GRID RADIO","multiOptions":{"row":[{"id":"1","title":"mgr1 option"},{"id":"2","title":"mgr2 option"}],"column":[{"id":"1","title":"MGr1 column option"},{"id":"2","title":"MGr2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGR DESCP","is_mandatory":"","question_type":"8"},{"id":"5","title":"MULTI GRID CHECKBOX","multiOptions":{"row":[{"id":"1","title":"MGC1 option"},{"id":"2","title":"MGC2 option"}],"column":[{"id":"1","title":"MGC1 column option"},{"id":"2","title":"MGC2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGC DESCP","is_mandatory":"","question_type":"9"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 15:32:56| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"2","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"},{"id":"4","title":"MULTI GRID RADIO","multiOptions":{"row":[{"id":"1","title":"mgr1 option"},{"id":"2","title":"mgr2 option"}],"column":[{"id":"1","title":"MGr1 column option"},{"id":"2","title":"MGr2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGR DESCP","is_mandatory":"","question_type":"8"},{"id":"5","title":"MULTI GRID CHECKBOX","multiOptions":{"row":[{"id":"1","title":"MGC1 option"},{"id":"2","title":"MGC2 option"}],"column":[{"id":"1","title":"MGC1 column option"},{"id":"2","title":"MGC2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGC DESCP","is_mandatory":"","question_type":"9"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 15:33:35| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"2","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 15:33:41| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"2","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"},{"id":"4","title":"MULTI GRID RADIO","multiOptions":{"row":[{"id":"1","title":"mgr1 option"},{"id":"2","title":"mgr2 option"}],"column":[{"id":"1","title":"MGr1 column option"},{"id":"2","title":"MGr2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGR DESCP","is_mandatory":"","question_type":"8"},{"id":"5","title":"MULTI GRID CHECKBOX","multiOptions":{"row":[{"id":"1","title":"MGC1 option"},{"id":"2","title":"MGC2 option"}],"column":[{"id":"1","title":"MGC1 column option"},{"id":"2","title":"MGC2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGC DESCP","is_mandatory":"","question_type":"9"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 15:33:48| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"2","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"},{"id":"4","title":"MULTI GRID RADIO","multiOptions":{"row":[{"id":"1","title":"mgr1 option"},{"id":"2","title":"mgr2 option"}],"column":[{"id":"1","title":"MGr1 column option"},{"id":"2","title":"MGr2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGR DESCP","is_mandatory":"","question_type":"8"},{"id":"5","title":"MULTI GRID CHECKBOX","multiOptions":{"row":[{"id":"1","title":"MGC1 option"},{"id":"2","title":"MGC2 option"}],"column":[{"id":"1","title":"MGC1 column option"},{"id":"2","title":"MGC2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGC DESCP","is_mandatory":"","question_type":"9"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 15:36:24| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"2","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"},{"id":"4","title":"MULTI GRID RADIO","multiOptions":{"row":[{"id":"1","title":"mgr1 option"},{"id":"2","title":"mgr2 option"}],"column":[{"id":"1","title":"MGr1 column option"},{"id":"2","title":"MGr2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGR DESCP","is_mandatory":"","question_type":"8"},{"id":"5","title":"MULTI GRID CHECKBOX","multiOptions":{"row":[{"id":"1","title":"MGC1 option"},{"id":"2","title":"MGC2 option"}],"column":[{"id":"1","title":"MGC1 column option"},{"id":"2","title":"MGC2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGC DESCP","is_mandatory":"","question_type":"9"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 15:36:51| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"2","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 15:36:57| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"2","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"},{"id":"4","title":"MULTI GRID RADIO","multiOptions":{"row":[{"id":"1","title":"mgr1 option"},{"id":"2","title":"mgr2 option"}],"column":[{"id":"1","title":"MGr1 column option"},{"id":"2","title":"MGr2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGR DESCP","is_mandatory":"","question_type":"8"},{"id":"5","title":"MULTI GRID CHECKBOX","multiOptions":{"row":[{"id":"1","title":"MGC1 option"},{"id":"2","title":"MGC2 option"}],"column":[{"id":"1","title":"MGC1 column option"},{"id":"2","title":"MGC2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGC DESCP","is_mandatory":"","question_type":"9"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-21 09:55:24| Profile_id : 660 | Method : GET | Url : http://127.0.0.1:8000//api/surveys/reports/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|[]
Time : 2021-12-21 09:55:34| Profile_id : 660 | Method : GET | Url : http://127.0.0.1:8000//api/surveys/reports/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|[]
